Carrier Code,Date (DD/MM/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
DL,01-08-2024,314,N533DT,BOS,00:47:00,00:17:00,-30,0,0,0,0,0
DL,01-08-2024,315,N707TW,JFK,01:19:00,01:47:00,28,0,0,17,0,11
DL,01-08-2024,340,N813DN,ATL,20:42:00,21:21:00,39,4,0,0,0,35
DL,01-08-2024,361,N595NW,DTW,10:30:00,10:19:00,-11,0,0,0,0,0
DL,01-08-2024,399,N889DN,ATL,00:31:00,01:03:00,32,32,0,0,0,0
DL,01-08-2024,442,N824DN,DTW,17:46:00,17:28:00,-18,0,0,0,0,0
DL,01-08-2024,469,N870DN,DTW,14:12:00,14:11:00,-1,0,0,0,0,0
DL,01-08-2024,475,N512DE,BOS,20:36:00,20:19:00,-17,0,0,0,0,0
DL,01-08-2024,509,N830DN,DTW,21:45:00,21:55:00,10,0,0,0,0,0
DL,01-08-2024,517,N727TW,ATL,18:23:00,18:14:00,-9,0,0,0,0,0
DL,01-08-2024,531,N584NW,ATL,12:21:00,12:23:00,2,0,0,0,0,0
DL,01-08-2024,533,N592NW,ATL,13:47:00,17:33:00,226,226,0,0,0,0
DL,01-08-2024,545,N852DN,ATL,22:45:00,22:37:00,-8,0,0,0,0,0
DL,01-08-2024,667,N722TW,JFK,23:38:00,23:45:00,7,0,0,0,0,0
DL,01-08-2024,668,N707TW,JFK,10:16:00,10:04:00,-12,0,0,0,0,0
DL,01-08-2024,669,N702TW,JFK,12:23:00,12:19:00,-4,0,0,0,0,0
DL,01-08-2024,670,N711ZX,JFK,20:53:00,21:50:00,57,8,0,41,0,8
DL,01-08-2024,679,N703TW,JFK,18:32:00,18:10:00,-22,0,0,0,0,0
DL,01-08-2024,680,N704X,JFK,14:42:00,14:17:00,-25,0,0,0,0,0
DL,01-08-2024,756,N918DU,MSP,17:48:00,18:19:00,31,19,0,12,0,0
DL,01-08-2024,823,N865DN,ATL,16:52:00,16:36:00,-16,0,0,0,0,0
DL,01-08-2024,858,N920DU,MSP,20:26:00,20:23:00,-3,0,0,0,0,0
DL,01-08-2024,884,N871DN,MSP,09:38:00,09:26:00,-12,0,0,0,0,0
DL,01-08-2024,902,N540DE,SLC,12:37:00,13:56:00,79,15,0,0,0,64
DL,01-08-2024,916,N583NW,ATL,10:11:00,10:01:00,-10,0,0,0,0,0
DL,01-08-2024,920,N314DU,SLC,09:05:00,09:22:00,17,0,0,17,0,0
DL,01-08-2024,977,N517DN,BOS,11:37:00,11:13:00,-24,0,0,0,0,0
DL,01-08-2024,1085,N914DU,SLC,21:53:00,22:07:00,14,0,0,0,0,0
DL,01-08-2024,1088,N108DQ,SLC,16:26:00,16:49:00,23,0,0,23,0,0
DL,01-08-2024,1091,N314DU,SLC,00:01:00,01:53:00,112,11,0,0,0,101
DL,01-08-2024,1321,N891DN,DTW,00:51:00,00:24:00,-27,0,0,0,0,0
DL,01-08-2024,1421,N398DA,LAX,08:19:00,08:12:00,-7,0,0,0,0,0
DL,01-08-2024,1559,N338NW,LAX,16:44:00,16:35:00,-9,0,0,0,0,0
DL,01-08-2024,1730,N775DE,SEA,00:05:00,00:30:00,25,14,0,11,0,0
DL,01-08-2024,2054,N347NW,LAX,19:04:00,18:48:00,-16,0,0,0,0,0
DL,01-08-2024,2074,N923DZ,MSP,13:08:00,12:41:00,-27,0,0,0,0,0
DL,01-08-2024,2078,N847DN,MSP,11:25:00,11:09:00,-16,0,0,0,0,0
DL,01-08-2024,2089,N831DN,MSP,23:36:00,23:23:00,-13,0,0,0,0,0
DL,01-08-2024,2239,N837DN,LAX,20:19:00,20:02:00,-17,0,0,0,0,0
DL,01-08-2024,2267,N398DA,LAX,13:29:00,13:16:00,-13,0,0,0,0,0
DL,01-08-2024,2272,N338NW,LAX,11:54:00,11:44:00,-10,0,0,0,0,0
DL,01-08-2024,2985,N112DU,SEA,12:13:00,12:16:00,3,0,0,0,0,0
DL,01-08-2024,2986,N363NW,LAX,23:49:00,23:34:00,-15,0,0,0,0,0
DL,02-08-2024,314,N512DE,BOS,00:47:00,00:32:00,-15,0,0,0,0,0
DL,02-08-2024,315,N703TW,JFK,01:19:00,01:19:00,0,0,0,0,0,0
DL,02-08-2024,340,N924DZ,ATL,20:42:00,20:44:00,2,0,0,0,0,0
DL,02-08-2024,361,N588NW,DTW,10:30:00,10:29:00,-1,0,0,0,0,0
DL,02-08-2024,399,N861DN,ATL,00:31:00,00:15:00,-16,0,0,0,0,0
DL,02-08-2024,442,N930DZ,DTW,17:49:00,17:37:00,-12,0,0,0,0,0
DL,02-08-2024,469,N872DN,DTW,14:12:00,13:51:00,-21,0,0,0,0,0
DL,02-08-2024,475,N549DN,BOS,20:36:00,22:02:00,86,0,14,3,0,69
DL,02-08-2024,509,N843DN,DTW,21:45:00,21:23:00,-22,0,0,0,0,0
DL,02-08-2024,517,N707TW,ATL,18:23:00,18:23:00,0,0,0,0,0,0
DL,02-08-2024,531,N589NW,ATL,12:21:00,12:14:00,-7,0,0,0,0,0
DL,02-08-2024,533,N687DL,ATL,13:47:00,15:25:00,98,94,0,4,0,0
DL,02-08-2024,545,N873DN,ATL,22:45:00,23:16:00,31,7,0,24,0,0
DL,02-08-2024,667,N727TW,JFK,23:38:00,00:07:00,29,0,0,11,0,18
DL,02-08-2024,668,N703TW,JFK,10:16:00,09:55:00,-21,0,0,0,0,0
DL,02-08-2024,669,N711ZX,JFK,12:23:00,12:21:00,-2,0,0,0,0,0
DL,02-08-2024,670,N722TW,JFK,20:53:00,22:08:00,75,0,0,75,0,0
DL,02-08-2024,679,N705TW,JFK,18:32:00,18:53:00,21,13,0,8,0,0
DL,02-08-2024,680,N706TW,JFK,14:42:00,14:45:00,3,0,0,0,0,0
DL,02-08-2024,756,N831DN,MSP,17:48:00,17:39:00,-9,0,0,0,0,0
DL,02-08-2024,823,N891DN,ATL,16:52:00,16:45:00,-7,0,0,0,0,0
DL,02-08-2024,858,N893DN,MSP,20:26:00,20:46:00,20,18,0,0,0,2
DL,02-08-2024,884,N840DN,MSP,09:38:00,09:33:00,-5,0,0,0,0,0
DL,02-08-2024,902,N573DT,SLC,12:37:00,12:28:00,-9,0,0,0,0,0
DL,02-08-2024,916,N583NW,ATL,10:11:00,09:57:00,-14,0,0,0,0,0
DL,02-08-2024,920,N352NW,SLC,09:05:00,08:51:00,-14,0,0,0,0,0
DL,02-08-2024,977,N526DE,BOS,11:37:00,11:04:00,-33,0,0,0,0,0
DL,02-08-2024,1085,N909DN,SLC,21:53:00,22:09:00,16,0,0,16,0,0
DL,02-08-2024,1088,N313DU,SLC,16:26:00,17:11:00,45,0,0,0,0,45
DL,02-08-2024,1091,N371NB,SLC,00:01:00,00:00:00,0,0,0,0,0,0
DL,02-08-2024,1321,N885DN,DTW,00:51:00,01:40:00,49,24,0,12,0,13
DL,02-08-2024,1421,N398DA,LAX,08:19:00,08:19:00,0,0,0,0,0,0
DL,02-08-2024,1559,N369NW,LAX,16:44:00,16:50:00,6,0,0,0,0,0
DL,02-08-2024,1730,N3772H,SEA,00:05:00,00:12:00,7,0,0,0,0,0
DL,02-08-2024,2054,N363NW,LAX,19:04:00,18:51:00,-13,0,0,0,0,0
DL,02-08-2024,2074,N802DN,MSP,13:08:00,13:14:00,6,0,0,0,0,0
DL,02-08-2024,2078,N892DN,MSP,11:25:00,11:05:00,-20,0,0,0,0,0
DL,02-08-2024,2089,N910DU,MSP,23:36:00,00:33:00,57,22,0,0,0,35
DL,02-08-2024,2239,N826DN,LAX,20:19:00,20:05:00,-14,0,0,0,0,0
DL,02-08-2024,2267,N398DA,LAX,13:29:00,13:17:00,-12,0,0,0,0,0
DL,02-08-2024,2272,N369NW,LAX,11:54:00,11:48:00,-6,0,0,0,0,0
DL,02-08-2024,2985,N118DU,SEA,12:13:00,11:54:00,-19,0,0,0,0,0
DL,02-08-2024,2986,N371NW,LAX,23:49:00,23:35:00,-14,0,0,0,0,0
DL,03-08-2024,340,N884DN,ATL,20:42:00,20:43:00,1,0,0,0,0,0
DL,03-08-2024,361,N584NW,DTW,10:30:00,10:05:00,-25,0,0,0,0,0
DL,03-08-2024,442,N124DX,DTW,18:25:00,18:16:00,-9,0,0,0,0,0
DL,03-08-2024,469,N827DN,DTW,14:13:00,14:20:00,7,0,0,0,0,0
DL,03-08-2024,475,N549DN,BOS,20:36:00,22:07:00,91,0,0,14,0,77
DL,03-08-2024,509,N878DN,DTW,22:43:00,22:25:00,-18,0,0,0,0,0
DL,03-08-2024,531,N596NW,ATL,12:21:00,14:10:00,109,109,0,0,0,0
DL,03-08-2024,533,N711ZX,ATL,13:48:00,15:28:00,100,11,0,0,0,89
DL,03-08-2024,545,N917DU,ATL,22:48:00,00:12:00,84,71,0,13,0,0
DL,03-08-2024,667,N705TW,JFK,23:38:00,02:18:00,160,0,0,160,0,0
DL,03-08-2024,668,N705TW,JFK,10:48:00,10:27:00,-21,0,0,0,0,0
DL,03-08-2024,670,N713TW,JFK,20:53:00,21:11:00,18,15,0,3,0,0
DL,03-08-2024,679,N717TW,JFK,18:32:00,18:47:00,15,0,0,15,0,0
DL,03-08-2024,680,N706TW,JFK,13:42:00,13:15:00,-27,0,0,0,0,0
DL,03-08-2024,756,N880DN,MSP,17:48:00,17:54:00,6,0,0,0,0,0
DL,03-08-2024,823,N852DN,ATL,16:52:00,16:50:00,-2,0,0,0,0,0
DL,03-08-2024,858,N924DZ,MSP,20:26:00,20:10:00,-16,0,0,0,0,0
DL,03-08-2024,884,N865DN,MSP,09:38:00,09:28:00,-10,0,0,0,0,0
DL,03-08-2024,902,N539DN,SLC,12:37:00,12:33:00,-4,0,0,0,0,0
DL,03-08-2024,916,N594NW,ATL,10:11:00,11:50:00,99,99,0,0,0,0
DL,03-08-2024,920,N369NW,SLC,09:05:00,09:13:00,8,0,0,0,0,0
DL,03-08-2024,977,N538DN,BOS,11:37:00,11:56:00,19,0,0,0,0,19
DL,03-08-2024,1088,N3766,SLC,16:15:00,16:26:00,11,0,0,0,0,0
DL,03-08-2024,1091,N104DU,SLC,00:01:00,23:38:00,-23,0,0,0,0,0
DL,03-08-2024,1421,N398DA,LAX,08:19:00,08:16:00,-3,0,0,0,0,0
DL,03-08-2024,1559,N347NW,LAX,16:44:00,16:48:00,4,0,0,0,0,0
DL,03-08-2024,1730,N775DE,SEA,00:05:00,00:17:00,12,0,0,0,0,0
DL,03-08-2024,2054,N827DN,LAX,19:18:00,19:02:00,-16,0,0,0,0,0
DL,03-08-2024,2074,N856DN,MSP,13:08:00,12:50:00,-18,0,0,0,0,0
DL,03-08-2024,2078,N929DZ,MSP,11:25:00,11:15:00,-10,0,0,0,0,0
DL,03-08-2024,2239,N347NW,LAX,21:38:00,21:51:00,13,0,0,0,0,0
DL,03-08-2024,2267,N859DN,LAX,13:29:00,13:26:00,-3,0,0,0,0,0
DL,03-08-2024,2272,N347NW,LAX,11:54:00,11:53:00,-1,0,0,0,0,0
DL,03-08-2024,2985,N133DU,SEA,12:13:00,12:16:00,3,0,0,0,0,0
DL,04-08-2024,314,N532DN,BOS,00:47:00,00:29:00,-18,0,0,0,0,0
DL,04-08-2024,315,N711ZX,JFK,01:19:00,04:00:00,161,161,0,0,0,0
DL,04-08-2024,340,N808DN,ATL,20:42:00,20:56:00,14,0,0,0,0,0
DL,04-08-2024,361,N594NW,DTW,10:30:00,10:23:00,-7,0,0,0,0,0
DL,04-08-2024,399,N928DU,ATL,00:31:00,00:26:00,-5,0,0,0,0,0
DL,04-08-2024,442,N826DN,DTW,17:46:00,18:09:00,23,23,0,0,0,0
DL,04-08-2024,469,N913DU,DTW,14:12:00,14:27:00,15,15,0,0,0,0
DL,04-08-2024,475,N520DE,BOS,20:36:00,21:47:00,71,35,0,6,0,30
DL,04-08-2024,509,N815DN,DTW,21:45:00,21:40:00,-5,0,0,0,0,0
DL,04-08-2024,517,N705TW,ATL,18:23:00,18:29:00,6,0,0,0,0,0
DL,04-08-2024,531,N591NW,ATL,12:21:00,12:01:00,-20,0,0,0,0,0
DL,04-08-2024,533,N588NW,ATL,13:47:00,14:21:00,34,0,0,0,0,34
DL,04-08-2024,545,N915DU,ATL,22:45:00,23:01:00,16,14,0,2,0,0
DL,04-08-2024,667,N717TW,JFK,23:38:00,23:38:00,0,0,0,0,0,0
DL,04-08-2024,668,N706TW,JFK,10:16:00,14:09:00,233,233,0,0,0,0
DL,04-08-2024,669,N711ZX,JFK,12:23:00,11:58:00,-25,0,0,0,0,0
DL,04-08-2024,670,N713TW,JFK,20:53:00,20:33:00,-20,0,0,0,0,0
DL,04-08-2024,679,N703TW,JFK,18:32:00,18:22:00,-10,0,0,0,0,0
DL,04-08-2024,680,N702TW,JFK,14:42:00,14:05:00,-37,0,0,0,0,0
DL,04-08-2024,756,N840DN,MSP,17:48:00,18:01:00,13,0,0,0,0,0
DL,04-08-2024,823,N912DU,ATL,17:03:00,17:35:00,32,5,0,11,0,16
DL,04-08-2024,858,N899DN,MSP,20:26:00,20:07:00,-19,0,0,0,0,0
DL,04-08-2024,884,N896DN,MSP,09:38:00,09:33:00,-5,0,0,0,0,0
DL,04-08-2024,902,N534DT,SLC,12:37:00,13:33:00,56,0,0,0,0,56
DL,04-08-2024,916,N586NW,ATL,10:11:00,09:58:00,-13,0,0,0,0,0
DL,04-08-2024,920,N371NW,SLC,09:05:00,08:53:00,-12,0,0,0,0,0
DL,04-08-2024,977,N531DA,BOS,11:37:00,13:49:00,132,23,0,0,0,109
DL,04-08-2024,1085,N823DN,SLC,21:53:00,22:20:00,27,6,0,21,0,0
DL,04-08-2024,1088,N312DU,SLC,16:26:00,17:16:00,50,0,0,23,0,27
DL,04-08-2024,1091,N108DQ,SLC,00:01:00,00:00:00,-1,0,0,0,0,0
DL,04-08-2024,1321,N839DN,DTW,00:51:00,00:00:00,0,0,0,0,0,0
DL,04-08-2024,1421,N398DA,LAX,08:19:00,08:06:00,-13,0,0,0,0,0
DL,04-08-2024,1559,N347NW,LAX,16:44:00,16:28:00,-16,0,0,0,0,0
DL,04-08-2024,1730,N3744F,SEA,00:05:00,00:09:00,4,0,0,0,0,0
DL,04-08-2024,2054,N372NW,LAX,19:04:00,19:01:00,-3,0,0,0,0,0
DL,04-08-2024,2074,N902DN,MSP,13:08:00,12:52:00,-16,0,0,0,0,0
DL,04-08-2024,2078,N870DN,MSP,11:25:00,11:00:00,-25,0,0,0,0,0
DL,04-08-2024,2089,N869DN,MSP,23:36:00,23:47:00,11,0,0,0,0,0
DL,04-08-2024,2239,N923DZ,LAX,20:19:00,22:35:00,136,129,0,7,0,0
DL,04-08-2024,2267,N398DA,LAX,13:29:00,13:42:00,13,0,0,0,0,0
DL,04-08-2024,2272,N347NW,LAX,11:54:00,11:32:00,-22,0,0,0,0,0
DL,04-08-2024,2985,N124DU,SEA,12:13:00,12:06:00,-7,0,0,0,0,0
DL,04-08-2024,2986,N362NW,LAX,23:49:00,23:54:00,5,0,0,0,0,0
DL,05-08-2024,314,N501DA,BOS,00:47:00,00:17:00,-30,0,0,0,0,0
DL,05-08-2024,315,N703TW,JFK,01:19:00,01:18:00,-1,0,0,0,0,0
DL,05-08-2024,340,N922DZ,ATL,20:42:00,20:22:00,-20,0,0,0,0,0
DL,05-08-2024,361,N535US,DTW,10:30:00,16:48:00,378,378,0,0,0,0
DL,05-08-2024,399,N898DN,ATL,00:30:00,01:19:00,49,10,0,0,0,39
DL,05-08-2024,442,N820DN,DTW,17:46:00,18:17:00,31,31,0,0,0,0
DL,05-08-2024,469,N915DU,DTW,14:12:00,14:10:00,-2,0,0,0,0,0
DL,05-08-2024,475,N524DE,BOS,20:36:00,20:50:00,14,0,0,0,0,0
DL,05-08-2024,509,N885DN,DTW,21:45:00,22:30:00,45,6,0,0,0,39
DL,05-08-2024,517,N717TW,ATL,18:23:00,20:04:00,101,0,0,1,0,100
DL,05-08-2024,531,N589NW,ATL,12:16:00,12:14:00,-2,0,0,0,0,0
DL,05-08-2024,533,N581NW,ATL,13:47:00,13:48:00,1,0,0,0,0,0
DL,05-08-2024,545,N879DN,ATL,22:45:00,22:11:00,-34,0,0,0,0,0
DL,05-08-2024,667,N711ZX,JFK,23:38:00,22:45:00,-53,0,0,0,0,0
DL,05-08-2024,668,N703TW,JFK,10:16:00,10:59:00,43,0,0,43,0,0
DL,05-08-2024,669,N705TW,JFK,12:23:00,13:46:00,83,83,0,0,0,0
DL,05-08-2024,670,N713TW,JFK,20:53:00,20:03:00,-50,0,0,0,0,0
DL,05-08-2024,679,N727TW,JFK,18:32:00,17:49:00,-43,0,0,0,0,0
DL,05-08-2024,680,N722TW,JFK,14:42:00,16:14:00,92,92,0,0,0,0
DL,05-08-2024,756,N821DN,MSP,17:48:00,18:03:00,15,10,0,0,0,5
DL,05-08-2024,823,N833DN,ATL,16:52:00,16:34:00,-18,0,0,0,0,0
DL,05-08-2024,858,N857DZ,MSP,20:26:00,21:14:00,48,20,0,28,0,0
DL,05-08-2024,884,N686DA,MSP,09:39:00,09:35:00,-4,0,0,0,0,0
DL,05-08-2024,902,N573DT,SLC,12:37:00,13:03:00,26,7,0,0,0,19
DL,05-08-2024,916,N587NW,ATL,10:16:00,10:24:00,8,0,0,0,0,0
DL,05-08-2024,920,N515DE,SLC,09:05:00,10:33:00,88,88,0,0,0,0
DL,05-08-2024,977,N534DT,BOS,11:37:00,11:40:00,3,0,0,0,0,0
DL,05-08-2024,1085,N902DN,SLC,21:50:00,21:52:00,2,0,0,0,0,0
DL,05-08-2024,1088,N319DU,SLC,16:26:00,16:36:00,10,0,0,0,0,0
DL,05-08-2024,1091,N320NB,SLC,00:04:00,01:31:00,87,11,0,0,0,76
DL,05-08-2024,1321,N806DN,DTW,00:51:00,00:38:00,-13,0,0,0,0,0
DL,05-08-2024,1421,N826DN,LAX,08:11:00,07:56:00,-15,0,0,0,0,0
DL,05-08-2024,1559,N369NW,LAX,16:44:00,16:26:00,-18,0,0,0,0,0
DL,05-08-2024,1730,N3745B,SEA,00:05:00,00:03:00,-2,0,0,0,0,0
DL,05-08-2024,2054,N362NW,LAX,19:04:00,19:05:00,1,0,0,0,0,0
DL,05-08-2024,2074,N909DN,MSP,13:08:00,12:56:00,-12,0,0,0,0,0
DL,05-08-2024,2078,N910DU,MSP,11:06:00,10:47:00,-19,0,0,0,0,0
DL,05-08-2024,2089,N913DU,MSP,23:36:00,23:33:00,-3,0,0,0,0,0
DL,05-08-2024,2239,N840DN,LAX,20:15:00,20:19:00,4,0,0,0,0,0
DL,05-08-2024,2267,N826DN,LAX,13:29:00,14:13:00,44,0,0,0,0,44
DL,05-08-2024,2272,N369NW,LAX,11:54:00,11:25:00,-29,0,0,0,0,0
DL,05-08-2024,2985,N123DQ,SEA,12:13:00,12:52:00,39,39,0,0,0,0
DL,05-08-2024,2986,N371NW,LAX,23:49:00,00:43:00,54,0,0,0,0,54
DL,06-08-2024,315,N177DN,JFK,01:19:00,11:12:00,593,593,0,0,0,0
DL,06-08-2024,340,N866DN,ATL,20:42:00,20:27:00,-15,0,0,0,0,0
DL,06-08-2024,361,N582NW,DTW,10:30:00,10:34:00,4,0,0,0,0,0
DL,06-08-2024,442,N910DU,DTW,17:46:00,18:20:00,34,11,0,0,0,23
DL,06-08-2024,469,N804DN,DTW,14:12:00,14:24:00,12,0,0,0,0,0
DL,06-08-2024,475,N510DE,BOS,21:45:00,21:27:00,-18,0,0,0,0,0
DL,06-08-2024,509,N930DZ,DTW,21:46:00,21:49:00,3,0,0,0,0,0
DL,06-08-2024,517,N703TW,ATL,18:23:00,18:27:00,4,0,0,0,0,0
DL,06-08-2024,531,N585NW,ATL,12:16:00,12:26:00,10,0,0,0,0,0
DL,06-08-2024,533,N587NW,ATL,13:47:00,13:27:00,-20,0,0,0,0,0
DL,06-08-2024,656,N901DN,ATL,23:24:00,23:00:00,-24,0,0,0,0,0
DL,06-08-2024,667,N727TW,JFK,23:38:00,01:59:00,141,0,0,141,0,0
DL,06-08-2024,668,N727TW,JFK,10:16:00,10:04:00,-12,0,0,0,0,0
DL,06-08-2024,669,N717TW,JFK,12:23:00,12:48:00,25,0,0,25,0,0
DL,06-08-2024,670,N711ZX,JFK,20:53:00,23:54:00,181,0,0,181,0,0
DL,06-08-2024,679,N722TW,JFK,18:32:00,17:45:00,-47,0,0,0,0,0
DL,06-08-2024,680,N706TW,JFK,14:42:00,14:39:00,-3,0,0,0,0,0
DL,06-08-2024,756,N807DN,MSP,17:48:00,17:51:00,3,0,0,0,0,0
DL,06-08-2024,823,N855DN,ATL,16:52:00,16:38:00,-14,0,0,0,0,0
DL,06-08-2024,858,N911DQ,MSP,20:26:00,20:14:00,-12,0,0,0,0,0
DL,06-08-2024,902,N527DE,SLC,12:37:00,12:34:00,-3,0,0,0,0,0
DL,06-08-2024,916,N593NW,ATL,10:16:00,09:56:00,-20,0,0,0,0,0
DL,06-08-2024,920,N368NW,SLC,09:05:00,08:46:00,-19,0,0,0,0,0
DL,06-08-2024,977,N537DT,BOS,11:37:00,11:16:00,-21,0,0,0,0,0
DL,06-08-2024,1085,N908DN,SLC,21:50:00,23:12:00,82,37,0,8,0,37
DL,06-08-2024,1088,N108DQ,SLC,16:26:00,16:20:00,-6,0,0,0,0,0
DL,06-08-2024,1091,N320NB,SLC,00:04:00,00:24:00,20,0,0,0,0,20
DL,06-08-2024,1421,N820DN,LAX,08:11:00,07:57:00,-14,0,0,0,0,0
DL,06-08-2024,1559,N372NW,LAX,16:44:00,16:34:00,-10,0,0,0,0,0
DL,06-08-2024,1562,N133DU,SEA,09:27:00,09:16:00,-11,0,0,0,0,0
DL,06-08-2024,1591,N133DU,SEA,15:47:00,15:33:00,-14,0,0,0,0,0
DL,06-08-2024,1730,N775DE,SEA,00:05:00,00:08:00,3,0,0,0,0,0
